sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval
448,0,0.055,25,54,1300,0.0004865439158028,0.0067407407407406306
613,0,0.055,18,75,1300,0.3800267217881787,0.43140740740740735
947,0,0.055,26,51,1300,0.0003502190283582,0.025490196078431372
280,0,0.055,17,80,1300,0.0075140906410984,0.03441176470588233
114,0,0.055,20,68,1300,0.0027724939958973,0.02102941176470576
780,0,0.055,14,98,1300,0.0145135453547341,0.06348396501457725
449,0,0.055,20,66,1300,0.5529467134389843,0.5387121212121211
614,0,0.055,42,31,1300,0.0357600734885062,0.17473118279569888
281,0,0.055,47,28,1300,0.0007737066801653,0.02074468085106378
948,0,0.055,30,44,1300,0.0108417409017902,0.07583333333333328
115,0,0.055,15,88,1300,0.2432899487949011,0.37325757575757573
781,0,0.055,33,40,1300,0.0714649053347257,0.12507575757575756
450,0,0.055,18,73,1300,0.2375698491335414,0.29284627092846266
615,0,0.055,29,46,1300,0.0010406973639414,0.01266866566716634
282,0,0.055,23,59,1300,0.0925792567822224,0.15615327929255704
116,0,0.055,21,62,1300,0.6415061116552143,0.45729646697388626
949,0,0.055,73,18,1300,0.0488318152721806,0.12762557077625564
782,0,0.055,40,33,1300,0.3770790241285813,0.41560606060606065
451,0,0.055,21,63,1300,0.1648787452400723,0.301662887377173
616,0,0.055,32,41,1300,0.0809356128916599,0.15457317073170726
283,0,0.055,47,28,1300,0.1087936379010803,0.17188449848024315
117,0,0.055,17,80,1300,0.3020992833522817,0.4091176470588234
783,0,0.055,14,95,1300,0.0132711111272968,0.058646616541353364
950,0,0.055,50,26,1300,0.0034659936591798,0.01799999999999994
452,0,0.055,14,96,1300,0.0394142223294302,0.11994047619047611
617,0,0.055,26,51,1300,0.023437464887945,0.08431372549019601
284,0,0.055,20,66,1300,0.1037578092696517,0.21075757575757575
118,0,0.055,17,81,1300,0.0019399426972979,0.01604938271604928
951,0,0.055,55,24,1300,0.011930482468313,0.06204545454545451
453,0,0.055,40,33,1300,0.330089359699699,0.3328787878787878
784,0,0.055,100,13,1300,0.0353153365215441,0.13899999999999998
618,0,0.055,69,19,1300,0.0331545448866722,0.10015255530129669
285,0,0.055,60,22,1300,0.5150511119359255,0.45303030303030306
119,0,0.055,73,18,1300,0.3139449019516773,0.4115677321156773
952,0,0.055,23,59,1300,0.1517360650064744,0.2835666912306558
785,0,0.055,23,59,1300,0.0015093480247342,0.03257184966838608
619,0,0.055,44,30,1300,0.0210718172796325,0.06598484848484841
286,0,0.055,16,84,1300,0.3433258921567448,0.35401785714285705
454,0,0.055,28,47,1300,0.2315469563427811,0.32796352583586624
953,0,0.055,45,29,1300,0.0041601430082215,0.05379310344827575
786,0,0.055,30,44,1300,0.0001802582204836,0.0039393939393939
620,0,0.055,50,26,1300,0.0749012301168877,0.11499999999999991
455,0,0.055,37,36,1300,0.0054800371562072,0.048798798798798754
120,0,0.055,21,64,1300,0.0209578961688715,0.08415178571428564
787,0,0.055,62,21,1300,0.148302687366987,0.2556067588325653
287,0,0.055,14,93,1300,0.0038302304921569,0.02196620583717352
954,0,0.055,38,35,1300,0.1226845565779636,0.20721804511278197
456,0,0.055,49,27,1300,0.2078574305046842,0.23091458805744508
121,0,0.055,36,37,1300,6.0847768342940096e-05,0.013663663663663648
621,0,0.055,40,33,1300,0.0552997537814331,0.22946969696969696
288,0,0.055,16,82,1300,0.0024532029378324,0.03765243902439019
955,0,0.055,36,37,1300,0.0431084668871802,0.1659159159159159
457,0,0.055,26,51,1300,0.1187519640374916,0.20098039215686275
122,0,0.055,27,49,1300,0.1827883874033374,0.26727135298563864
622,0,0.055,37,36,1300,0.0350008499800418,0.10930930930930918
788,0,0.055,41,32,1300,0.0033509803852196,0.03567073170731707
289,0,0.055,18,75,1300,0.0223922846414434,0.07607407407407404
956,0,0.055,15,92,1300,1.551874047022522e-06,0.0
458,0,0.055,25,52,1300,3.833371369335288e-05,0.00199999999999995
123,0,0.055,14,98,1300,0.3021500509320609,0.3714285714285714
789,0,0.055,41,32,1300,0.0043246347853978,0.04161585365853656
623,0,0.055,130,10,1300,0.0085538220731322,0.0819999999999999
290,0,0.055,29,46,1300,3.801408400470402e-05,0.00194902548725625
957,0,0.055,47,28,1300,0.235134429718577,0.31709726443768993
459,0,0.055,55,24,1300,0.2283931309958234,0.2609848484848484
124,0,0.055,18,76,1300,0.1615480886716901,0.30789473684210517
790,0,0.055,33,40,1300,0.0004927229041534,0.00984848484848475
958,0,0.055,47,28,1300,0.0084793672045305,0.07112462006079028
291,0,0.055,26,51,1300,0.4276552411346245,0.40392156862745093
624,0,0.055,15,89,1300,0.0011623089500871,0.01752808988764041
460,0,0.055,21,63,1300,0.0447736345638941,0.10120937263794395
125,0,0.055,15,89,1300,0.0005800122312637,0.01947565543071161
791,0,0.055,28,48,1300,0.0070441916909957,0.059970238095237986
461,0,0.055,21,62,1300,0.451174795084742,0.4253456221198157
959,0,0.055,21,64,1300,0.0660689188145518,0.21279761904761904
292,0,0.055,33,40,1300,0.0010064116557561,0.01083333333333329
625,0,0.055,109,12,1300,0.1075264223320723,0.2544342507645259
126,0,0.055,20,65,1300,0.0017180514597198,0.01599999999999999
792,0,0.055,47,28,1300,0.332934765778355,0.42279635258358667
462,0,0.055,25,52,1300,0.0056968685421618,0.039
960,0,0.055,20,65,1300,0.3580515461268518,0.45499999999999996
127,0,0.055,60,22,1300,0.000764568324211,0.02265151515151512
293,0,0.055,28,48,1300,0.004367540417049,0.04642857142857141
626,0,0.055,17,81,1300,0.0079904166998314,0.06608569353667386
